index,timeLocal,particleCount,avgSpeed,maxSpeed,minSpeed,avgLife,avgSize,avgDelay,dirBias,meanDirX,meanDirY,meanDirZ
0,0.608,3,246.134,248.51,244.855,2.587,0.099,0.008,0.997,-0.008,-0.004,0.997
1,0.608,3,246.313,249.046,244.855,2.587,0.074,0.008,0.998,0.998,-0.005,0.011
2,0.611,1,250.5,250.5,250.5,2.604,0.106,0,1,0.652,0.614,0.446
3,0.613,1,247.601,247.601,247.601,2.604,0.095,0,1,0.019,0.694,0.72
4,0.613,1,247.178,247.178,247.178,2.604,0.095,0,1,0.713,-0.018,0.701
5,0.613,1,247.178,247.178,247.178,2.604,0.077,0,1,0.726,0.688,0.007
6,0.62,1,248.177,248.177,248.177,2.604,0.059,0,1,-0.465,0.613,0.639
7,0.622,3781,240.769,256.35,219.068,2.6,0.078,0.088,0.011,0.008,0,0.007
8,0.631,163,243.628,256.802,227.702,2.607,0.078,0.065,0.974,-0.007,0.973,-0.01
9,0.65,7,247.652,250.861,245.605,2.55,0.06,0.021,0.998,0.721,0.405,0.56
10,0.653,22,246.202,256.824,233.853,2.552,0.077,0.046,0.995,-0.015,0.914,0.395
11,0.659,7,244.872,248.538,240.484,2.55,0.062,0.026,0.998,0.719,-0.409,0.558
12,0.662,12,246.668,255.287,228.628,2.503,0.08,0.039,0.999,0.395,0.915,-0.064
13,0.662,7,243.739,249.49,233.237,2.55,0.061,0.029,0.998,-0.574,0.392,0.716
14,0.665,24,243.178,254.458,229.267,2.569,0.088,0.052,0.996,-0.415,0.905,-0.014
15,0.671,7,242.452,246.673,237.837,2.55,0.061,0.034,0.998,-0.573,-0.396,0.715
16,0.671,7,246.592,250.652,241.175,2.55,0.054,0.024,0.998,0.129,0.398,0.906
17,0.673,10,245.659,254.715,237.635,2.514,0.089,0.024,0.998,0.404,0.911,0.054
18,0.674,24,243.363,255.944,229.097,2.569,0.084,0.043,0.996,-0.012,0.905,-0.415
19,0.674,23,248.353,257.642,235.923,2.567,0.074,0.035,0.995,0.272,0.916,0.279
20,0.68,139,241.088,250.465,227.345,2.605,0.079,0.057,0.976,-0.009,-0.976,-0.012
21,0.681,7,245.068,249.49,238.257,2.55,0.054,0.029,0.999,0.898,0.403,-0.166
22,0.683,7,244.054,247.831,239.848,2.55,0.052,0.03,0.997,0.129,-0.402,0.904
23,0.684,13,246.688,256.057,228.691,2.53,0.08,0.034,0.997,-0.246,0.912,0.317
24,0.686,12,244.648,254.191,231.357,2.503,0.08,0.039,0.998,0.231,0.909,-0.34
25,0.692,7,243.691,249.173,239.236,2.55,0.065,0.035,0.998,0.896,-0.408,-0.165
26,0.695,17,243.562,254.937,231.716,2.535,0.08,0.043,0.996,-0.329,0.897,-0.28
27,0.696,7,242.783,249.49,229.786,2.55,0.06,0.021,0.998,0.531,0.399,-0.745
28,0.696,4,242.714,247.287,235.183,2.588,0.066,0.018,0.998,0.224,0.279,0.932
29,0.697,19,243.444,255.663,224.667,2.564,0.084,0.038,0.995,-0.018,-0.911,0.4
30,0.703,11,244.174,254.727,232.503,2.516,0.08,0.024,0.997,0.325,0.908,-0.253
31,0.705,7,241.496,249.061,230.766,2.55,0.056,0.026,0.998,0.53,-0.403,-0.743
32,0.706,11,242.629,255.064,232.126,2.516,0.08,0.026,0.998,-0.355,0.904,0.227
33,0.707,20,243.244,255.944,228.628,2.558,0.084,0.029,0.996,0.4,-0.912,-0.011
34,0.707,4,240.054,249.781,233.241,2.588,0.055,0.022,0.999,0.926,0.279,-0.252
35,0.708,4,239.089,246.125,233.319,2.588,0.065,0.025,0.998,0.224,-0.289,0.928
36,0.71,4,238.874,246.707,229.677,2.588,0.052,0.016,0.999,0.827,0.275,0.488
37,0.711,7,240.21,249.49,229.313,2.55,0.061,0.027,0.998,-0.739,0.387,-0.548
38,0.715,7,239.477,253.481,227.49,2.55,0.081,0.031,0.998,-0.237,0.912,-0.327
39,0.717,4,237.591,249.781,233.241,2.588,0.06,0.028,0.999,0.922,-0.29,-0.25
40,0.719,7,240.543,249.49,222.748,2.55,0.063,0.023,0.998,-0.909,0.386,0.143
41,0.719,14,246.223,256.48,233.471,2.527,0.078,0.023,0.996,0.309,-0.912,0.257
42,0.719,4,235.473,245.546,228.17,2.588,0.064,0.021,0.998,0.824,-0.286,0.486
43,0.721,10,242.773,252.528,224.975,2.514,0.078,0.022,0.998,-0.415,-0.907,0.042
44,0.722,3,235.893,241.354,228.516,2.587,0.074,0.017,0.998,-0.507,0.253,0.822
45,0.728,7,240.103,249.49,222.685,2.55,0.058,0.029,0.998,-0.179,0.39,-0.901
46,0.728,10,244.763,255.923,234.007,2.514,0.081,0.025,0.999,-0.252,-0.914,0.314
47,0.73,7,239,246.673,233.913,2.55,0.064,0.021,0.998,-0.738,-0.39,-0.547
48,0.731,19,240.382,254.257,229.097,2.564,0.078,0.024,0.995,-0.018,-0.902,-0.42
49,0.731,3,232.609,241.354,227.956,2.587,0.058,0.023,0.999,-0.499,-0.298,0.812
50,0.734,11,242.202,252.133,226.722,2.516,0.078,0.028,0.997,0.227,-0.908,-0.343
51,0.734,7,239.242,247.831,227.348,2.55,0.058,0.025,0.999,-0.908,-0.389,0.144
52,0.74,5,242.195,246.811,237.468,2.564,0.073,0.009,0.997,0.191,-0.93,0.305
53,0.744,3,238.858,243.315,234.021,2.587,0.05,0.006,0.998,-0.938,0.255,0.225
54,0.749,8,241.147,250.595,233.12,2.547,0.076,0.014,0.997,0.312,-0.913,-0.251
55,0.752,8,237,247.128,229.267,2.547,0.073,0.015,0.998,-0.431,-0.897,-0.076
56,0.752,13,240.611,252.351,228.691,2.53,0.081,0.024,0.996,-0.325,-0.9,-0.279
57,0.752,3,235.388,244.03,227.98,2.587,0.074,0.008,0.997,0.468,0.257,-0.843
58,0.753,7,238.802,247.831,223.665,2.55,0.063,0.021,0.998,-0.178,-0.393,-0.899
59,0.755,3,236.978,239.66,234.021,2.587,0.055,0.009,0.997,-0.267,0.256,-0.926
60,0.756,8,238.955,249.245,231.173,2.547,0.084,0.013,0.998,-0.363,-0.901,0.228
61,0.76,3,235.573,239.236,233.462,2.587,0.057,0.01,0.999,-0.927,-0.299,0.223
62,0.761,3,232.282,244.03,224.836,2.587,0.064,0.014,0.998,0.462,-0.302,-0.831
63,0.771,2,231.067,234.154,227.979,2.51,0.059,0.005,0.998,-0.829,0.256,-0.494
64,0.773,5,234.582,242.828,227.49,2.564,0.081,0.012,0.998,-0.238,-0.907,-0.341
65,0.778,3,233.872,237.254,230.342,2.587,0.071,0.005,0.998,-0.263,-0.301,-0.914
66,0.79,2,226.587,227.979,225.194,2.51,0.064,0.004,0.999,-0.819,-0.298,-0.488
67,0.803,1,221.759,221.759,221.759,2.604,0.1,0,1,-0.924,-0.347,-0.159
